@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.933333,0.446804,6.344289,0.0625,0.457971,0.000028,notBlood
0.823529,0.410666,1.735603,0.069712,0.85942,0.000295,notBlood
0.432612,0.045958,5.608421,0.216346,0.853623,0.004584,notBlood
1,0.558505,3.104835,0.074519,0.45942,0.000035,notBlood
0.802817,0.26424,6.787111,0.115385,0.455072,0.000368,notBlood
1,0.448799,9.793792,0.09375,0.834783,0.000024,notBlood
1,0.136309,3.201474,0.122596,0.765217,0.000073,notBlood
1,0.436332,7.138627,0.115385,0.834783,0.000017,notBlood
1,0.785398,2.131481,0.120192,0.44058,0.000031,notBlood
1,0.753982,2.477678,0.122596,0.433333,0.000021,notBlood
1,0.436332,7.552483,0.127404,0.469565,0.000017,notBlood
1,0.282743,3.392075,0.139423,0.76087,0.000031,notBlood
1,0.72698,1.641304,0.134615,0.865217,0.000024,notBlood
0.9375,0.736311,11.3717,0.153846,0.573913,0.000052,notBlood
1,0.384685,1.598611,0.158654,0.76087,0.000021,notBlood
1,0.282743,1.523479,0.170673,0.765217,0.000031,notBlood
0.945946,0.321273,10.029914,0.177885,0.586957,0.000121,notBlood
1,0.519272,6.829348,0.168269,0.833333,0.000017,notBlood
1,0.314159,8.163333,0.189904,0.833333,0.000035,notBlood
1,0.384685,4.068852,0.240385,0.22029,0.000021,notBlood
1,0.628319,8.246211,0.271635,0.833333,0.000017,notBlood
1,0.436332,8.822698,0.283654,0.763768,0.000017,notBlood
1,0.239983,4.597879,0.3125,0.763768,0.000038,notBlood
1,0.833484,0.821314,0.307692,0.865217,0.000045,notBlood
1,0.785398,1.223149,0.353365,0.871014,0.000056,notBlood
1,0.436332,0.748331,0.362981,0.757971,0.000017,notBlood
0.894737,0.661388,2.25273,0.365385,0.844928,0.000066,notBlood
0.58871,0.201049,3.035497,0.396635,0.853623,0.000854,notBlood
1,0.641141,11.058481,0.391827,0.604348,0.000035,notBlood
1,0.523599,4.573474,0.394231,0.831884,0.000021,notBlood
1,0.173929,9.298647,0.413462,0.842029,0.000056,notBlood
0.894737,0.426421,11.738367,0.415865,0.607246,0.00017,notBlood
1,0.208371,6.149999,0.423077,0.757971,0.000045,notBlood
1,0.282743,7.072814,0.432692,0.762319,0.000031,notBlood
1,0.390954,0.755929,0.423077,0.868116,0.000024,notBlood
1,0.436332,1.019804,0.435096,0.818841,0.000017,notBlood
1,0.343612,6.423808,0.567308,0.436232,0.000024,notBlood
1,0.343612,6.279217,0.569712,0.449275,0.000024,notBlood
1,0.594858,2.54951,0.584135,0.844928,0.000028,notBlood
0.627273,0.20667,2.23042,0.620192,0.849275,0.000691,notBlood
1,0.623126,34.789845,0.600962,0.83913,0.000021,notBlood
1,0.753982,0.471405,0.641827,0.865217,0.000021,notBlood
1,0.519272,2.8,0.651442,0.84058,0.000017,notBlood
0.468938,0.047641,5.863341,0.788462,0.850725,0.003276,notBlood
