@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.911765,0.304376,3.341911,0.691811,0.682991,0.000009,notBlood
0.941176,0.478305,2.353123,0.690819,0.695566,0.000004,notBlood
1,0.610865,2.373321,0.689826,0.702846,0.000002,notBlood
0.958333,0.403607,13.638932,0.6933,0.452019,0.000024,notBlood
0.72973,0.263903,13.770948,0.695285,0.429517,0.000038,notBlood
0.657895,0.269777,13.027806,0.694293,0.44143,0.000041,notBlood
0.721519,0.267798,12.709921,0.694789,0.418266,0.000044,notBlood
0.72,0.254678,14.473549,0.695782,0.391132,0.000037,notBlood
0.716418,0.31073,12.601649,0.694293,0.403044,0.000036,notBlood
1,0.753982,0.942809,0.691811,0.698213,0.000002,notBlood
0.724638,0.279781,14.944638,0.696278,0.369292,0.000035,notBlood
0.725,0.274889,13.178329,0.695782,0.379881,0.000046,notBlood
0.766234,0.277651,15.591274,0.696278,0.356717,0.000043,notBlood
0.684211,0.256723,14.57227,0.69727,0.334216,0.000039,notBlood
0.815385,0.347992,14.61111,0.69727,0.345467,0.000038,notBlood
0.675325,0.292488,14.498702,0.697767,0.307081,0.000045,notBlood
0.670732,0.209315,13.040019,0.69727,0.324289,0.000037,notBlood
0.733333,0.258309,7.556084,0.695782,0.690271,0.000024,notBlood
0.675325,0.267054,13.281636,0.698263,0.281271,0.000041,notBlood
0.766667,0.303687,13.915757,0.69727,0.297154,0.000029,notBlood
0.679487,0.287101,14.233373,0.699256,0.244871,0.000046,notBlood
0.661972,0.251776,11.579774,0.698759,0.260754,0.000033,notBlood
0.675676,0.229481,12.982157,0.698759,0.270682,0.000033,notBlood
1,0.614356,3.185712,0.695782,0.671741,0.000004,notBlood
1,0.669215,2.788867,0.695782,0.700199,0.000003,notBlood
0.716049,0.258567,13.305927,0.698759,0.232958,0.000044,notBlood
0.846154,0.334608,6.193635,0.696774,0.648577,0.000006,notBlood
1,0.775702,2.332381,0.696278,0.702184,0.000002,notBlood
0.633028,0.206249,15.834411,0.699752,0.213766,0.000064,notBlood
0.728395,0.285382,14.116096,0.700248,0.187955,0.000049,notBlood
0.666667,0.291232,12.482604,0.700248,0.200529,0.000046,notBlood
1,0.610865,1.85164,0.69727,0.667108,0.000002,notBlood
0.9,0.628319,1.356466,0.696774,0.845797,0.000002,notBlood
0.690476,0.213714,13.229888,0.701241,0.177366,0.000039,notBlood
1,0.834486,10.15213,0.698263,0.702846,0.000006,notBlood
0.833333,0.469057,8.120384,0.702233,0.765718,0.000028,notBlood
1,0.610865,3.090473,0.699752,0.710126,0.000002,notBlood
0.916667,0.523599,7.31247,0.699752,0.768365,0.000002,notBlood
1,0.72698,5.876275,0.699752,0.771674,0.000002,notBlood
1,0.785398,11.848842,0.700744,0.733289,0.000003,notBlood
1,0.785398,8.550504,0.701737,0.636664,0.000003,notBlood
1,0.608752,7.755183,0.70273,0.710788,0.000005,notBlood
0.947368,0.626578,10.610529,0.703226,0.725347,0.000006,notBlood
1,0.610865,8.599953,0.70273,0.695566,0.000002,notBlood
1,0.753982,13.458785,0.704218,0.649901,0.000002,notBlood
1,0.562973,4.500992,0.705707,0.708802,0.000009,notBlood
0.884615,0.446143,6.980131,0.706203,0.702846,0.000008,notBlood
1,0.753982,15.773571,0.704715,0.168101,0.000002,notBlood
0.947368,0.452529,11.607996,0.705211,0.364659,0.000004,notBlood
